"Timestamp","How.would.you.rate.your.level.of.experience.using.R.","What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..please.use.the.highest.degree.received.","In.what.country.do.you.currently.reside.","What.industry.do.you.work.or.participate.in.","How.many.people.in.your.organization.or.work.group.do.you.feel.that.you.can.ask.for.help.or.support.when.working.with.R."
"01/01/2020 08:28","Beginner","Doctorate","Australia","Education",3
"12/17/2019 22:45:22","Expert","Doctorate","Australia","Financial Services and Activities",0
"12/18/2019 14:22:23","Expert","Doctorate","Australia","Education",5
"12/20/2019 0:56:26","Expert","Doctorate","Australia","Research",0
"12/23/2019 19:47:02","Expert","Doctorate","Australia","Financial Services and Activities",10
"12/30/2019 17:29:06","Expert","Doctorate","Australia","Natural Resources and Mining",3
"12/31/2019 1:15:10","Expert","Doctorate","Australia","Education",5
"12/31/2019 1:31:08","Expert","Doctorate","Australia","Financial Services and Activities",10
"12/31/2019 22:54:52","Expert","Doctorate","Australia","Financial Services and Activities",5
"01/01/2020 09:03","Expert","Doctorate","Australia","University teaching and research",2
"12/16/2019 0:53:16","Intermediate","Doctorate","Australia","Education",1
"12/16/2019 2:47:40","Intermediate","Doctorate","Australia","Education",0
"12/21/2019 1:36:30","Intermediate","Doctorate","Australia","Education",10
"12/30/2019 17:39:20","Intermediate","Doctorate","Australia","Education",1
"12/30/2019 18:03:04","Intermediate","Doctorate","Australia","Research",10
"12/30/2019 19:38:02","Intermediate","Doctorate","Australia","Health Care and Medicine",2
"12/30/2019 19:42:00","Intermediate","Doctorate","Australia","Financial Services and Activities",0
"12/30/2019 20:39:55","Intermediate","Doctorate","Australia","Education",10
"12/31/2019 0:46:45","Intermediate","Doctorate","Australia","Education",2
"12/31/2019 7:37:41","Intermediate","Doctorate","Australia","Not Employed",0
"12/31/2019 19:35:28","Intermediate","Doctorate","Australia","Research",
"01/01/2020 07:31","Intermediate","Doctorate","Australia","Research",2
"12/28/2019 4:37:38","Expert","Doctorate","Austria","Information Technologies",4
"12/31/2019 4:06:58","Expert","Doctorate","Austria","Research/University",0
"12/31/2019 3:35:03","Intermediate","Doctorate","Austria","Research",
"12/31/2019 9:09:11","Intermediate","Doctorate","Austria","Financial Services and Activities",3
"12/18/2019 12:35:26","Expert","Doctorate","Belarus","Research",4
"12/15/2019 13:34:49","Beginner","Doctorate","Belgium","Transportation",5
"12/19/2019 4:37:46","Beginner","Doctorate","Belgium","Health Care and Medicine",5
"12/18/2019 9:57:57","Expert","Doctorate","Belgium","Research",10
"12/19/2019 9:10:09","Expert","Doctorate","Belgium","Information Technologies",2
"12/30/2019 17:33:26","Expert","Doctorate","Belgium","Research",1
"12/18/2019 10:21:07","Intermediate","Doctorate","Belgium","Financial Services and Activities",1
"12/18/2019 12:19:30","Intermediate","Doctorate","Belgium","Health Care and Medicine",20
"12/29/2019 14:18:53","Intermediate","Doctorate","Belgium","Health Care and Medicine",0
"12/30/2019 22:58:31","Beginner","Doctorate","Brazil","Education",0
"12/18/2019 9:29:53","Expert","Doctorate","Brazil","Education",0
"12/20/2019 6:18:26","Expert","Doctorate","Brazil","Law",0
"12/23/2019 19:34:21","Expert","Doctorate","Brazil","Education",50
"12/31/2019 7:44:10","Expert","Doctorate","Brazil","Research",0
"12/31/2019 12:23:45","Expert","Doctorate","Brazil","Research",
"12/19/2019 20:52:52","Intermediate","Doctorate","Brazil","Education",3
"12/13/2019 13:13:22","Intermediate","Doctorate","Bulgaria","Research",1
"12/30/2019 21:58:36","Beginner","Doctorate","Canada","Research",0
"12/15/2019 18:53:58","Expert","Doctorate","Canada","Research",10
"12/29/2019 14:30:35","Expert","Doctorate","Canada","Government Geological Survey",0
"12/30/2019 17:32:14","Expert","Doctorate","Canada","Research",5
"12/30/2019 17:54:27","Expert","Doctorate","Canada","Research",
"12/30/2019 18:14:20","Expert","Doctorate","Canada","Education",6
"12/30/2019 19:23:07","Expert","Doctorate","Canada","Research",3
"12/30/2019 20:03:14","Expert","Doctorate","Canada","Information Technologies",1
"12/30/2019 20:04:58","Expert","Doctorate","Canada","Information Technologies",5
"12/31/2019 8:01:50","Expert","Doctorate","Canada","Research",5
"12/31/2019 12:36:18","Expert","Doctorate","Canada","Health Care and Medicine",2
"01/07/2020 19:22","Expert","Doctorate","Canada","Utilities",0
"12/15/2019 11:00:23","Intermediate","Doctorate","Canada","Government Services (Federal, State, or Local)",2
"12/15/2019 15:06:48","Intermediate","Doctorate","Canada","Research",0
"12/16/2019 10:34:05","Intermediate","Doctorate","Canada","Education",0
"12/18/2019 10:39:41","Intermediate","Doctorate","Canada","Education",20
"12/20/2019 12:35:23","Intermediate","Doctorate","Canada","Government Services (Federal, State, or Local)",5
"12/30/2019 17:22:55","Intermediate","Doctorate","Canada","Research",3
"12/30/2019 17:59:59","Intermediate","Doctorate","Canada","Education",0
"12/30/2019 18:04:47","Intermediate","Doctorate","Canada","Education",8
"12/30/2019 18:26:32","Intermediate","Doctorate","Canada","Education",5
"12/31/2019 0:01:13","Intermediate","Doctorate","Canada","Transportation",0
"12/31/2019 16:27:24","Intermediate","Doctorate","Canada","Professional and Business Services",2
"01/03/2020 12:49","Intermediate","Doctorate","Canada","Research",1
"01/01/2020 22:25","Intermediate","Doctorate","China","Research",5
"12/18/2019 10:15:27","Intermediate","Doctorate","Colombia","Education",1
"12/23/2019 9:37:59","Intermediate","Doctorate","Colombia","Education",2
"12/18/2019 15:04:45","Beginner","Doctorate","Czech Republic","Education",
"12/29/2019 12:52:03","Beginner","Doctorate","Czech Republic","Education",1
"12/18/2019 15:35:16","Expert","Doctorate","Czech Republic","Information Technologies",0
"12/19/2019 15:30:22","Expert","Doctorate","Czech Republic","Research",1
"12/15/2019 15:52:14","Intermediate","Doctorate","Czech Republic","Education",2
"12/18/2019 12:29:56","Intermediate","Doctorate","Czech Republic","Research",1
"12/18/2019 13:43:10","Intermediate","Doctorate","Czech Republic","Research",
"12/19/2019 4:03:50","Intermediate","Doctorate","Czech Republic","Education",4
"12/18/2019 16:42:01","Expert","Doctorate","Denmark","Financial Services and Activities",2
"12/19/2019 6:48:41","Expert","Doctorate","Denmark","Research",3
"12/19/2019 7:27:19","Expert","Doctorate","Denmark","Trade (Retail or Wholesale)",5
"12/21/2019 16:49:15","Expert","Doctorate","Denmark","Biotechnology",5
"12/30/2019 18:12:41","Expert","Doctorate","Denmark","Research",3
"12/30/2019 19:18:16","Expert","Doctorate","Denmark","Research",0
"12/18/2019 15:01:06","Intermediate","Doctorate","Denmark","Health Care and Medicine",0
"01/03/2020 13:38","Intermediate","Doctorate","Denmark","Education",3
"12/30/2019 23:58:39","Intermediate","Doctorate","Finland","Information Technologies",5
"01/02/2020 05:06","Intermediate","Doctorate","Finland","Education",3
"01/04/2020 02:39","Beginner","Doctorate","France","Research",1
"12/14/2019 18:02:16","Expert","Doctorate","France","Education",1
"12/18/2019 14:13:41","Expert","Doctorate","France","Research",0
"12/31/2019 2:06:09","Expert","Doctorate","France","Research",10
"12/31/2019 4:11:28","Expert","Doctorate","France","Natural Resources and Mining",2
"12/31/2019 8:03:54","Expert","Doctorate","France","Research",5
"12/31/2019 9:19:29","Expert","Doctorate","France","Research",10
"12/13/2019 10:24:23","Intermediate","Doctorate","France","Health Care and Medicine",6
"12/16/2019 13:29:13","Intermediate","Doctorate","France","Natural Resources and Mining",
"12/18/2019 12:06:11","Intermediate","Doctorate","France","Research",20
"12/18/2019 12:10:17","Intermediate","Doctorate","France","Education",1
"12/18/2019 14:45:21","Intermediate","Doctorate","France","Research",10
"12/19/2019 8:52:39","Intermediate","Doctorate","France","Research",
"12/19/2019 11:05:04","Intermediate","Doctorate","France","Utilities",20
"12/23/2019 3:23:42","Intermediate","Doctorate","France","",0
"12/29/2019 14:55:50","Intermediate","Doctorate","France","Research",0
"12/30/2019 9:44:59","Intermediate","Doctorate","France","Non-profit",1
"12/31/2019 3:26:16","Intermediate","Doctorate","France","Research",2
"12/31/2019 3:32:52","Intermediate","Doctorate","France","Education",0
"12/31/2019 4:34:46","Intermediate","Doctorate","France","Research",2
"12/31/2019 7:58:26","Intermediate","Doctorate","France","Research",10
"01/02/2020 05:25","Intermediate","Doctorate","France","Agriculture",5
"12/17/2019 6:02:16","Beginner","Doctorate","Germany","Education",3
"12/18/2019 15:27:36","Expert","Doctorate","Germany","Utilities",10
"12/19/2019 13:11:02","Expert","Doctorate","Germany","Financial Services and Activities",3
"12/30/2019 2:24:46","Expert","Doctorate","Germany","Health Care and Medicine",80
"12/30/2019 17:31:44","Expert","Doctorate","Germany","Education",1
"12/31/2019 5:23:49","Expert","Doctorate","Germany","Research",1
"01/01/2020 03:22","Expert","Doctorate","Germany","Manufacturing",25
"01/01/2020 15:19","Expert","Doctorate","Germany","Research",
"01/03/2020 10:24","Expert","Doctorate","Germany","Education",5
"12/13/2019 12:15:38","Intermediate","Doctorate","Germany","Insurance",2
"12/15/2019 11:07:28","Intermediate","Doctorate","Germany","Education",2
"12/15/2019 15:31:17","Intermediate","Doctorate","Germany","Research",0
"12/16/2019 6:08:14","Intermediate","Doctorate","Germany","Research",0
"12/18/2019 7:02:05","Intermediate","Doctorate","Germany","Information Technologies",
"12/18/2019 15:03:33","Intermediate","Doctorate","Germany","Financial Services and Activities",1
"12/19/2019 9:42:54","Intermediate","Doctorate","Germany","Natural Resources and Mining",6
"12/20/2019 8:46:40","Intermediate","Doctorate","Germany","Research",1
"12/20/2019 9:11:19","Intermediate","Doctorate","Germany","Health Care and Medicine",0
"12/22/2019 4:27:31","Intermediate","Doctorate","Germany","Accommodation and Food Services",30
"12/23/2019 10:06:31","Intermediate","Doctorate","Germany","Professional and Business Services",1
"12/28/2019 16:13:55","Intermediate","Doctorate","Germany","Research",0
"12/30/2019 4:42:09","Intermediate","Doctorate","Germany","Health Care and Medicine",0
"12/31/2019 1:41:53","Intermediate","Doctorate","Germany","Accommodation and Food Services",2
"12/31/2019 2:35:19","Intermediate","Doctorate","Germany","Professional and Business Services",0
"12/31/2019 4:31:17","Intermediate","Doctorate","Germany","Research",1
"12/31/2019 5:44:40","Intermediate","Doctorate","Germany","Information Technologies",0
"12/31/2019 7:48:40","Intermediate","Doctorate","Germany","Research",0
"12/31/2019 8:44:32","Intermediate","Doctorate","Germany","Education",0
"12/31/2019 9:38:42","Intermediate","Doctorate","Germany","Health Care and Medicine",0
"12/31/2019 12:35:13","Intermediate","Doctorate","Germany","Research",3
"01/01/2020 00:02","Intermediate","Doctorate","Germany","Professional and Business Services",2
"01/01/2020 12:51","Intermediate","Doctorate","Germany","Research",5
"01/03/2020 08:58","Intermediate","Doctorate","Germany","Transportation",0
"01/07/2020 06:36","Intermediate","Doctorate","Germany","Education",5
"12/30/2019 17:39:11","Intermediate","Doctorate","Hungary","Research",5
"12/25/2019 4:37:29","Beginner","Doctorate","India","Education",0
"12/19/2019 0:52:30","Intermediate","Doctorate","India","Research",0
"12/31/2019 5:39:21","Intermediate","Doctorate","Indonesia","Information Technologies",
"12/23/2019 20:05:36","Beginner","Doctorate","Ireland","Research",4
"12/15/2019 10:40:15","Expert","Doctorate","Ireland","Education",2
"12/30/2019 17:24:01","Expert","Doctorate","Ireland","Education",3
"12/30/2019 17:34:15","Expert","Doctorate","Italy","Research",2
"12/31/2019 11:51:46","Expert","Doctorate","Italy","Research",45
"01/01/2020 13:22","Expert","Doctorate","Italy","Trade (Retail or Wholesale)",1
"01/02/2020 04:53","Expert","Doctorate","Italy","Research",1
"12/18/2019 15:35:26","Intermediate","Doctorate","Italy","Education",
"12/18/2019 17:47:40","Intermediate","Doctorate","Italy","Research",1
"01/01/2020 02:19","Intermediate","Doctorate","Italy","Education",0
"12/31/2019 7:04:15","Expert","Doctorate","Japan","Education",2
"12/21/2019 8:23:55","Intermediate","Doctorate","Japan","Health Care and Medicine",
"12/30/2019 18:22:40","Intermediate","Doctorate","Japan","Research",2
"12/31/2019 20:33:04","Expert","Doctorate","Korea, South","Financial Services and Activities",10
"12/18/2019 12:25:43","Expert","Doctorate","Latvia","Financial Services and Activities",2
"12/19/2019 4:59:03","Intermediate","Doctorate","Luxembourg","Research",3
"12/31/2019 6:03:49","Intermediate","Doctorate","Malaysia","Education",3
"12/30/2019 19:52:55","Intermediate","Doctorate","Mexico","Education",10
"12/18/2019 13:20:11","Expert","Doctorate","Netherlands","Financial Services and Activities",7
"12/19/2019 15:44:08","Expert","Doctorate","Netherlands","Health Care and Medicine",5
"12/30/2019 17:30:23","Expert","Doctorate","Netherlands","Research",
"01/02/2020 04:40","Expert","Doctorate","Netherlands","Research",
"12/18/2019 16:48:09","Intermediate","Doctorate","Netherlands","Research",3
"12/30/2019 9:25:50","Intermediate","Doctorate","Netherlands","Research",5
"12/30/2019 18:25:15","Intermediate","Doctorate","Netherlands","Government Services (Federal, State, or Local)",
"12/22/2019 18:03:32","Expert","Doctorate","New Zealand","Research",20
"12/23/2019 19:01:51","Expert","Doctorate","New Zealand","Education",5
"12/31/2019 4:17:43","Expert","Doctorate","New Zealand","Research",0
"12/22/2019 17:30:06","Intermediate","Doctorate","New Zealand","Manufacturing",5
"12/30/2019 17:25:39","Intermediate","Doctorate","New Zealand","Government Services (Federal, State, or Local)",5
"12/15/2019 13:48:27","Intermediate","Doctorate","Nigeria","Education",30
"12/15/2019 7:51:32","Expert","Doctorate","Norway","Research",
"12/31/2019 3:25:06","Expert","Doctorate","Norway","Research",2
"01/01/2020 11:28","Expert","Doctorate","Norway","Research",5
"12/13/2019 12:12:19","Intermediate","Doctorate","Norway","Research",2
"12/13/2019 12:53:10","Intermediate","Doctorate","Norway","Education",0
"12/18/2019 9:38:37","Intermediate","Doctorate","Norway","Government Services (Federal, State, or Local)",3
"12/31/2019 4:02:00","Intermediate","Doctorate","Norway","Education",
"12/31/2019 4:07:03","Intermediate","Doctorate","Norway","Research",1
"12/31/2019 6:22:01","Intermediate","Doctorate","Norway","Research",0
"12/31/2019 17:57:11","Intermediate","Doctorate","Norway","Education",
"12/13/2019 10:09:13","Intermediate","Doctorate","Peru","Education",0
"12/21/2019 7:10:05","Beginner","Doctorate","Poland","Education",0
"12/30/2019 19:13:37","Expert","Doctorate","Poland","Education",5
"12/31/2019 6:24:58","Expert","Doctorate","Poland","Education",5
"12/16/2019 4:26:27","Intermediate","Doctorate","Poland","Research",0
"12/20/2019 6:44:05","Intermediate","Doctorate","Poland","Health Care and Medicine",5
"12/31/2019 16:18:02","Intermediate","Doctorate","Poland","Education",0
"12/18/2019 15:30:01","Beginner","Doctorate","Portugal","Research",2
"12/19/2019 6:54:27","Beginner","Doctorate","Russia","Education",0
"12/19/2019 11:11:38","Beginner","Doctorate","Russia","Information Technologies",1
"12/20/2019 3:25:03","Beginner","Doctorate","Russia","Research",0
"12/22/2019 15:14:44","Beginner","Doctorate","Russia","Education",1
"12/19/2019 8:25:04","Expert","Doctorate","Russia","Financial Services and Activities",0
"12/30/2019 4:32:27","Expert","Doctorate","Russia","Education",5
"12/18/2019 9:57:00","Intermediate","Doctorate","Russia","Education",0
"12/18/2019 20:02:32","Intermediate","Doctorate","Russia","Education",
"12/30/2019 18:49:06","Intermediate","Doctorate","Saudi Arabia","Government Services (Federal, State, or Local)",0
"12/15/2019 1:01:28","Expert","Doctorate","Senegal","Humanitarian assistance/Non profit ",0
"12/15/2019 10:43:11","Expert","Doctorate","Singapore","Transportation",5
"12/30/2019 17:46:53","Intermediate","Doctorate","Singapore","Research",0
"12/31/2019 2:59:19","Expert","Doctorate","Slovakia","Utilities",0
"12/15/2019 11:07:49","Intermediate","Doctorate","South Africa","Research",0
"12/31/2019 5:01:44","Intermediate","Doctorate","South Africa","Research",1
"01/02/2020 13:43","Intermediate","Doctorate","South Africa","Non-governmental sector",2
"12/24/2019 17:09:42","Beginner","Doctorate","Spain","Research",1
"12/25/2019 12:21:51","Beginner","Doctorate","Spain","Education",2
"12/28/2019 9:33:02","Expert","Doctorate","Spain","Research",5
"12/31/2019 8:50:00","Expert","Doctorate","Spain","Health Care and Medicine",4
"12/18/2019 15:24:56","Intermediate","Doctorate","Spain","Education",250
"12/31/2019 19:49:26","Intermediate","Doctorate","Spain","Research",2
"12/14/2019 7:59:21","Expert","Doctorate","Sweden","Information Technologies",0
"12/18/2019 2:33:29","Expert","Doctorate","Sweden","Health Care and Medicine",4
"12/23/2019 19:16:14","Intermediate","Doctorate","Sweden","Research",10
"12/31/2019 4:22:16","Intermediate","Doctorate","Sweden","Research",10
"01/03/2020 13:19","Intermediate","Doctorate","Sweden","Research",3
"12/18/2019 15:10:15","Expert","Doctorate","Switzerland","Research",
"12/24/2019 4:13:35","Expert","Doctorate","Switzerland","Manufacturing",5
"12/31/2019 4:30:29","Expert","Doctorate","Switzerland","Financial Services and Activities",2
"12/31/2019 7:54:25","Expert","Doctorate","Switzerland","Research",3
"01/03/2020 12:47","Expert","Doctorate","Switzerland","Health Care and Medicine",100
"12/16/2019 4:32:39","Intermediate","Doctorate","Switzerland","Research",0
"12/30/2019 18:02:26","Intermediate","Doctorate","Switzerland","Research",15
"12/30/2019 19:16:04","Intermediate","Doctorate","Switzerland","Government Services (Federal, State, or Local)",
"12/31/2019 4:18:30","Intermediate","Doctorate","Switzerland","Education",5
"01/02/2020 15:48","Intermediate","Doctorate","Switzerland","Research",50
"12/19/2019 23:02:32","Expert","Doctorate","Thailand","Education",2
"12/30/2019 17:39:05","Expert","Doctorate","Thailand","Telecoms and retails industries",4
"12/24/2019 6:54:27","Beginner","Doctorate","Turkey","Research",1
"12/29/2019 15:34:11","Expert","Doctorate","Turkey","Information Technologies",1
"12/15/2019 15:17:20","Intermediate","Doctorate","Turkey","Health Care and Medicine",2
"12/31/2019 1:08:20","Intermediate","Doctorate","Turkey","Education",0
"12/13/2019 11:35:51","Beginner","Doctorate","United Kingdom","Education",2
"12/16/2019 16:13:11","Beginner","Doctorate","United Kingdom","Research",20
"12/23/2019 19:08:31","Beginner","Doctorate","United Kingdom","Research",2
"12/30/2019 17:31:48","Beginner","Doctorate","United Kingdom","Government Services (Federal, State, or Local)",10
"12/31/2019 7:55:43","Beginner","Doctorate","United Kingdom","Health Care and Medicine",1
"12/13/2019 10:17:21","Expert","Doctorate","United Kingdom","Health Care and Medicine",10
"12/17/2019 7:44:57","Expert","Doctorate","United Kingdom","Research",0
"12/18/2019 9:39:49","Expert","Doctorate","United Kingdom","Education",6
"12/19/2019 4:14:15","Expert","Doctorate","United Kingdom","Education",5
"12/19/2019 4:59:35","Expert","Doctorate","United Kingdom","Research",50
"12/22/2019 7:13:30","Expert","Doctorate","United Kingdom","Research",0
"12/26/2019 4:24:53","Expert","Doctorate","United Kingdom","Education",0
"12/30/2019 17:57:55","Expert","Doctorate","United Kingdom","Research",10
"12/30/2019 19:09:33","Expert","Doctorate","United Kingdom","Research",2
"12/30/2019 19:43:40","Expert","Doctorate","United Kingdom","Research",0
"12/30/2019 22:05:20","Expert","Doctorate","United Kingdom","Information Technologies",0
"12/31/2019 2:49:46","Expert","Doctorate","United Kingdom","Research",2
"12/31/2019 3:21:07","Expert","Doctorate","United Kingdom","Health Care and Medicine",0
"12/31/2019 6:30:47","Expert","Doctorate","United Kingdom","Government Services (Federal, State, or Local)",200
"12/31/2019 11:55:15","Expert","Doctorate","United Kingdom","Health Care and Medicine",0
"12/31/2019 16:10:43","Expert","Doctorate","United Kingdom","Education",3
"01/01/2020 04:05","Expert","Doctorate","United Kingdom","Research",4
"01/03/2020 03:00","Expert","Doctorate","United Kingdom","Information Technologies",0
"12/13/2019 11:22:01","Intermediate","Doctorate","United Kingdom","Government Services (Federal, State, or Local)",100
"12/15/2019 9:20:18","Intermediate","Doctorate","United Kingdom","Government Services (Federal, State, or Local)",20
"12/15/2019 10:40:25","Intermediate","Doctorate","United Kingdom","Research",1
"12/16/2019 0:20:11","Intermediate","Doctorate","United Kingdom","Research",2
"12/17/2019 8:57:14","Intermediate","Doctorate","United Kingdom","Telecommunications",0
"12/18/2019 0:07:17","Intermediate","Doctorate","United Kingdom","Education",0
"12/18/2019 7:43:59","Intermediate","Doctorate","United Kingdom","Government Services (Federal, State, or Local)",0
"12/19/2019 12:13:34","Intermediate","Doctorate","United Kingdom","Research",0
"12/23/2019 19:07:44","Intermediate","Doctorate","United Kingdom","",1
"12/29/2019 16:53:14","Intermediate","Doctorate","United Kingdom","Health Care and Medicine",8
"12/30/2019 4:36:23","Intermediate","Doctorate","United Kingdom","Research",1
"12/30/2019 17:23:03","Intermediate","Doctorate","United Kingdom","Health Care and Medicine",2
"12/30/2019 17:23:56","Intermediate","Doctorate","United Kingdom","Education",6
"12/30/2019 18:23:39","Intermediate","Doctorate","United Kingdom","Education",0
"12/31/2019 2:26:49","Intermediate","Doctorate","United Kingdom","Research",0
"12/31/2019 3:17:11","Intermediate","Doctorate","United Kingdom","Research",20
"12/31/2019 6:26:59","Intermediate","Doctorate","United Kingdom","Education",30
"12/31/2019 8:04:39","Intermediate","Doctorate","United Kingdom","Research",3
"12/31/2019 11:04:39","Intermediate","Doctorate","United Kingdom","Financial Services and Activities",10
"01/01/2020 12:05","Intermediate","Doctorate","United Kingdom","Research",10
"12/15/2019 21:56:01","Beginner","Doctorate","United States of America","Education",15
"12/16/2019 12:20:25","Beginner","Doctorate","United States of America","Education",4
"12/16/2019 14:20:09","Beginner","Doctorate","United States of America","Education",2
"12/16/2019 22:15:20","Beginner","Doctorate","United States of America","Education",1
"12/18/2019 11:17:46","Beginner","Doctorate","United States of America","Research",0
"12/29/2019 19:04:39","Beginner","Doctorate","United States of America","Health Care and Medicine",1
"12/30/2019 20:50:55","Beginner","Doctorate","United States of America","Education",0
"12/31/2019 1:41:13","Beginner","Doctorate","United States of America","Research",2
"12/31/2019 11:34:45","Beginner","Doctorate","United States of America","Education",
"12/31/2019 13:31:33","Beginner","Doctorate","United States of America","Education",2
"12/31/2019 19:39:01","Beginner","Doctorate","United States of America","Research",0
"12/13/2019 10:09:10","Expert","Doctorate","United States of America","Consulting",0
"12/13/2019 10:58:22","Expert","Doctorate","United States of America","Education",2
"12/15/2019 11:57:04","Expert","Doctorate","United States of America","Research",0
"12/15/2019 12:34:33","Expert","Doctorate","United States of America","Research",3
"12/15/2019 13:30:03","Expert","Doctorate","United States of America","Education",2
"12/15/2019 15:14:17","Expert","Doctorate","United States of America","Agriculture",0
"12/15/2019 15:47:04","Expert","Doctorate","United States of America","Research",10
"12/16/2019 10:40:18","Expert","Doctorate","United States of America","Education",4
"12/16/2019 10:45:46","Expert","Doctorate","United States of America","Information Technologies",2
"12/16/2019 18:12:39","Expert","Doctorate","United States of America","Education",0
"12/17/2019 12:34:48","Expert","Doctorate","United States of America","Education",3
"12/17/2019 15:52:34","Expert","Doctorate","United States of America","Health Care and Medicine",20
"12/18/2019 9:32:48","Expert","Doctorate","United States of America","Education",0
"12/18/2019 9:56:50","Expert","Doctorate","United States of America","Research",0
"12/18/2019 11:20:58","Expert","Doctorate","United States of America","Research",5
"12/19/2019 13:00:02","Expert","Doctorate","United States of America","Research",0
"12/21/2019 17:23:29","Expert","Doctorate","United States of America","Education",
"12/23/2019 8:11:10","Expert","Doctorate","United States of America","Education",10
"12/23/2019 10:01:27","Expert","Doctorate","United States of America","Health Care and Medicine",4
"12/23/2019 19:59:09","Expert","Doctorate","United States of America","Manufacturing",5
"12/23/2019 21:10:32","Expert","Doctorate","United States of America","Health Care and Medicine",1
"12/29/2019 14:48:07","Expert","Doctorate","United States of America","Research",1
"12/29/2019 23:26:59","Expert","Doctorate","United States of America","Education",10
"12/30/2019 17:21:54","Expert","Doctorate","United States of America","Education",0
"12/30/2019 17:22:13","Expert","Doctorate","United States of America","Education",10
"12/30/2019 17:25:17","Expert","Doctorate","United States of America","Education",1
"12/30/2019 17:30:29","Expert","Doctorate","United States of America","Government contractor",1
"12/30/2019 17:31:04","Expert","Doctorate","United States of America","Education",0
"12/30/2019 17:57:47","Expert","Doctorate","United States of America","Research",6
"12/30/2019 18:00:40","Expert","Doctorate","United States of America","Information Technologies",5
"12/30/2019 18:01:21","Expert","Doctorate","United States of America","Health Care and Medicine",20
"12/30/2019 18:09:18","Expert","Doctorate","United States of America","Education",0
"12/30/2019 18:09:38","Expert","Doctorate","United States of America","Research",5
"12/30/2019 18:17:59","Expert","Doctorate","United States of America","Research",0
"12/30/2019 18:18:04","Expert","Doctorate","United States of America","Manufacturing",1
"12/30/2019 18:40:40","Expert","Doctorate","United States of America","Government Services (Federal, State, or Local)",10
"12/30/2019 19:30:11","Expert","Doctorate","United States of America","Agriculture ",10
"12/30/2019 19:36:38","Expert","Doctorate","United States of America","Education",5
"12/30/2019 19:43:04","Expert","Doctorate","United States of America","Financial Services and Activities",10
"12/30/2019 19:50:09","Expert","Doctorate","United States of America","Research",8
"12/30/2019 19:54:15","Expert","Doctorate","United States of America","Research",2
"12/30/2019 19:58:59","Expert","Doctorate","United States of America","Education",0
"12/30/2019 20:44:52","Expert","Doctorate","United States of America","Education",
"12/30/2019 21:00:23","Expert","Doctorate","United States of America","Information Technologies",3
"12/30/2019 21:16:14","Expert","Doctorate","United States of America","Health Care and Medicine",15
"12/30/2019 21:28:56","Expert","Doctorate","United States of America","Research",20
"12/30/2019 21:54:15","Expert","Doctorate","United States of America","Research",2
"12/30/2019 22:30:28","Expert","Doctorate","United States of America","Education",3
"12/31/2019 0:42:19","Expert","Doctorate","United States of America","Health Care and Medicine",
"12/31/2019 2:08:32","Expert","Doctorate","United States of America","Health Care and Medicine",1
"12/31/2019 5:48:28","Expert","Doctorate","United States of America","Research",50
"12/31/2019 6:37:42","Expert","Doctorate","United States of America","Education",20
"12/31/2019 7:26:54","Expert","Doctorate","United States of America","Marketing Development ",2
"12/31/2019 9:19:16","Expert","Doctorate","United States of America","Information Technologies",1
"12/31/2019 10:10:17","Expert","Doctorate","United States of America","Manufacturing",0
"12/31/2019 10:39:56","Expert","Doctorate","United States of America","Financial Services and Activities",3
"12/31/2019 11:10:19","Expert","Doctorate","United States of America","Education",10
"12/31/2019 11:51:15","Expert","Doctorate","United States of America","Natural Resources and Mining",0
"12/31/2019 13:32:10","Expert","Doctorate","United States of America","Education",1
"12/31/2019 15:16:08","Expert","Doctorate","United States of America","Research",3
"12/31/2019 18:13:41","Expert","Doctorate","United States of America","Professional and Business Services",0
"12/31/2019 19:47:02","Expert","Doctorate","United States of America","Information Technologies",2
"12/31/2019 21:12:40","Expert","Doctorate","United States of America","Academia",1
"01/01/2020 13:55","Expert","Doctorate","United States of America","Education",30
"01/02/2020 11:02","Expert","Doctorate","United States of America","Education",
"01/02/2020 11:11","Expert","Doctorate","United States of America","Research",0
"01/02/2020 12:18","Expert","Doctorate","United States of America","Natural Resources and Mining",4
"01/03/2020 13:11","Expert","Doctorate","United States of America","Information Technologies",
"01/03/2020 14:13","Expert","Doctorate","United States of America","Information Technologies",6
"01/03/2020 19:33","Expert","Doctorate","United States of America","Pharma",6
"01/06/2020 21:06","Expert","Doctorate","United States of America","Financial Services and Activities",5
"01/07/2020 06:11","Expert","Doctorate","United States of America","Research",5
"01/07/2020 06:21","Expert","Doctorate","United States of America","Research",100
"12/13/2019 10:01:03","Intermediate","Doctorate","United States of America","Education",5
"12/13/2019 10:19:58","Intermediate","Doctorate","United States of America","Education",0
"12/13/2019 10:35:09","Intermediate","Doctorate","United States of America","Health Care and Medicine",3
"12/13/2019 10:58:12","Intermediate","Doctorate","United States of America","Education",1
"12/13/2019 12:26:25","Intermediate","Doctorate","United States of America","Professional and Business Services",5
"12/13/2019 12:53:39","Intermediate","Doctorate","United States of America","Research",2
"12/13/2019 14:45:19","Intermediate","Doctorate","United States of America","Research",6
"12/13/2019 17:06:55","Intermediate","Doctorate","United States of America","Manufacturing",10
"12/15/2019 10:46:50","Intermediate","Doctorate","United States of America","Education",1
